time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,0.05803714761010337,0.19411069236143905,6.718478580364756,0.08603057985339557,6.238843972043419,0.0,0.20205402932761196,0.5280389482649792,6.02823534229502,0.07709363747313817,-0.06496494442064019,0.0,423.9878096236317,425.36782067652075,422.8037199897099,424.6458754361607
1.2600000000000007,0.07093478551546592,0.22728552949737255,7.079648697146939,0.09069008339969908,6.235782610201884,0.0,0.2281581826750793,0.5781860467473118,6.010784024964031,0.07876398474858044,-0.032130741836944955,0.0,433.4981400983881,436.24697788814734,434.5432537163787,434.6882229167394
1.3200000000000007,0.0855778504285191,0.2638026760780989,7.442520460531697,0.09577315617459625,6.234365564331025,0.0,0.2600847655227638,0.6394948618936915,6.084462763662995,0.09454379309953255,-0.010493886360109544,0.0,462.3584872218554,464.06023331299974,462.85650122630045,464.1024155727516
1.3800000000000008,0.10211290362317563,0.30400822821621376,7.808833205264691,0.10147505136838486,6.233877453243945,0.0,0.29112315964595165,0.7011944881831935,6.125646540898923,0.09598904376241624,-0.0037919774618249756,0.0,453.3083112349522,453.8467688579612,455.0366010361724,455.15974662996433
1.4400000000000008,0.1203496614863604,0.3476741360397702,8.174209826308944,0.1070315624235807,6.233256584951619,0.0,0.3168145758459021,0.7548043223581028,6.053870621538494,0.08481183391170226,-0.028579279666718853,0.0,420.14550747841156,417.99045705006034,418.32686353680845,417.3599961506221
1.5000000000000009,0.1402653230820004,0.39490593999530726,8.537719064644095,0.11176710240780796,6.231944572825231,0.0,0.34716824978593064,0.8200146970375101,6.062952842815795,0.0633086860099536,-0.01101436135011142,0.0,443.75877738403597,445.19853954093793,445.03187812241765,443.27277112007374
1.560000000000001,0.16195545030287806,0.4459847119411419,8.900468914603701,0.11596400570629761,6.2316152904755615,0.0,0.37588175623220577,0.8829536599816211,6.028800921740719,0.08070096456526957,0.003748740014909108,0.0,429.14712668440075,430.3987867899155,430.79439519445253,432.2666584446472
1.620000000000001,0.18578019744466973,0.5018370234238476,9.269043233951054,0.12059157180617319,6.232167559256268,0.0,0.41815942414745216,0.9792088869410578,6.255658540036957,0.06880087442744802,0.018341625475546006,0.0,508.29453520556865,509.33931423127245,509.77613761527357,508.92879666183694
1.680000000000001,0.2118490957596837,0.5629193850585346,9.645846273774945,0.12434008270930974,6.23301102201998,0.0,0.4506912737860811,1.0572016069780155,6.304070780129424,0.04518210026101765,0.0037048040182411195,0.0,460.61168696493274,459.45234161294076,460.006851811054,458.13487906246473
1.740000000000001,0.23952780085662592,0.6279321141146974,10.01905282707189,0.12700334568795135,6.2335262856004015,0.0,0.4719500656806431,1.110160034379862,6.136994970948474,0.04275016199265995,0.016902261807794573,0.0,387.4012039747526,388.64042695694224,388.78792804936,388.56136826872057
1.8000000000000012,0.2688131863291541,0.6970265510994048,10.389037029743037,0.129543731404965,6.23444444383432,0.0,0.5041142958470313,1.1931756846395385,6.195401222599428,0.041506300919647125,0.011894538747096057,0.0,461.81154956888355,461.41618902617535,461.7753294340652,461.67807725527626
1.8600000000000012,0.29994968695243257,0.7709873210363957,10.761281377478989,0.13181534991880817,6.235617728876553,0.0,0.5336699591800791,1.2723677101065487,6.212559524436529,0.02933594259706551,0.03162889460286342,0.0,448.93767435240403,450.5363955434569,450.1367226369574,449.1512067496135
1.9200000000000013,0.3330377491204058,0.8503088465904274,11.138850387797824,0.13422350770490254,6.2381997140401495,0.0,0.5689581806046539,1.3717822201719785,6.372093890676784,0.05586629493752405,0.059406600755726305,0.0,491.59087133677997,493.6460439581085,492.1715986658176,494.1322395108604
1.9800000000000013,0.3679461986431341,0.9349525229206419,11.520822339288745,0.13714763893599802,6.242020395903829,0.0,0.5943314392963953,1.4499367325439418,6.3602800285912755,0.028016493098545876,0.07108139750745775,0.0,443.0065232875263,443.9686174020774,443.5341659565633,441.241786267306
